Symbol,expiry_date,fetch_time,Spot Price,ATM Strike,CE OI,CE Chg in OI,CE Volume,CE IV,CE LTP,CE Bid Qty,CE Bid,CE Ask,CE Ask Qty,CE Delta,CE Theta,CE Gamma,CE Vega,Strike Price,PE Bid Qty,PE Bid,PE Ask,PE Ask Qty,PE LTP,PE IV,PE Volume,PE Chg in OI,PE OI,PE Delta,PE Theta,PE Gamma,PE Vega,timestamp
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,990,0,0,0.00,4655.00,510,4925.90,5373.30,600,0.00,0.00,0.00,0.00,51100.00,300,12.25,15.90,30,14.30,23.06,20430,180,13710,-0.02,-3.27,0.00,4.31,21:12:00
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,960,0,0,0.00,4020.00,510,4864.90,5279.15,600,0.00,0.00,0.00,0.00,51200.00,300,13.00,17.00,630,14.20,22.63,8370,870,18180,-0.02,-3.23,0.00,4.35,21:12:00
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,630,0,0,0.00,4700.00,510,4709.10,5172.60,600,0.00,0.00,0.00,0.00,51300.00,30,13.80,19.00,30,14.05,22.20,8460,-1530,8700,-0.02,-3.18,0.00,4.38,21:12:00
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,1080,0,0,0.00,4604.65,510,4662.65,5075.80,600,0.00,0.00,0.00,0.00,51400.00,30,15.00,18.70,150,18.70,22.75,9870,-1560,8790,-0.02,-3.98,0.00,5.34,21:12:00
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,18900,-90,210,31.12,4889.10,90,4640.55,4721.20,30,0.93,-29.06,0.00,14.65,51500.00,180,16.20,17.85,330,18.75,22.34,522150,-62730,239910,-0.02,-3.96,0.00,5.43,21:12:00
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,810,0,0,0.00,4157.05,510,4494.35,4874.10,600,0.00,0.00,0.00,0.00,51600.00,30,15.60,19.15,210,17.30,21.66,42480,-270,56460,-0.02,-3.69,0.00,5.23,21:12:00
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,780,0,0,58.47,5408.35,510,4368.50,4773.55,600,0.79,-76.80,0.00,32.07,51700.00,30,14.00,22.75,300,18.25,21.42,27780,-6450,7200,-0.02,-3.83,0.00,5.49,21:12:00
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,1860,0,0,16.36,4485.90,510,4268.15,4671.15,600,1.00,-14.93,0.00,1.49,51800.00,1200,18.00,21.45,30,21.10,21.49,32400,-8040,12630,-0.02,-4.27,0.00,6.10,21:12:00
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,1230,0,0,0.00,4040.65,510,4204.50,4563.25,600,0.00,0.00,0.00,0.00,51900.00,30,18.60,25.85,600,22.80,21.34,27120,-1350,14730,-0.03,-4.50,0.00,6.50,21:12:00
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,130410,-5940,8580,0.00,4221.00,30,4210.00,4227.40,60,0.00,0.00,0.00,0.00,52000.00,60,23.00,24.25,30,24.25,21.13,1083420,-97410,815310,-0.03,-4.69,0.00,6.85,21:12:00
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,300,0,30,35.98,4450.00,510,3993.30,4272.25,600,0.87,-41.74,0.00,23.30,52100.00,30,24.50,28.35,60,27.00,21.08,43650,-8850,25650,-0.03,-5.06,0.00,7.43,21:12:00
BANKNIFTY,26 JUN,2025-06-12 21:12:37,56082.55,56100,2820,0,0,39.35,4450.00,510,3879.00,4282.75,600,0.84,-48.36,0.00,26.36,52200.00,300,23.60,29.30,30,29.45,20.96,79440,-3510,34080,-0.03,-5.37,0.00,7.94,21:12:00
