Symbol,expiry_date,fetch_time,Spot Price,ATM Strike,CE OI,CE Chg in OI,CE Volume,CE IV,CE LTP,CE Bid Qty,CE Bid,CE Ask,CE Ask Qty,CE Delta,CE Theta,CE Gamma,CE Vega,Strike Price,PE Bid Qty,PE Bid,PE Ask,PE Ask Qty,PE LTP,PE IV,PE Volume,PE Chg in OI,PE OI,PE Delta,PE Theta,PE Gamma,PE Vega,timestamp
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,5724.35,350,4669.20,6263.90,595,0.00,0.00,0.00,0.00,51100.00,0,0.00,0.00,0,441.85,23.76,0,0,0,-0.14,-6.45,0.00,56.20,21:12:00
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,5643.10,350,4505.70,6168.50,595,0.00,0.00,0.00,0.00,51200.00,0,0.00,0.00,0,442.70,23.50,0,0,35,-0.14,-6.39,0.00,56.63,21:12:00
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,5562.35,595,4020.80,6088.15,595,0.00,0.00,0.00,0.00,51300.00,0,0.00,0.00,0,476.55,23.80,0,0,35,-0.14,-6.68,0.00,58.51,21:12:00
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,5482.05,385,4461.30,5978.25,595,0.00,0.00,0.00,0.00,51400.00,0,0.00,459.95,595,494.65,23.82,0,0,0,-0.15,-6.80,0.00,59.67,21:12:00
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,5402.30,350,3988.80,5904.55,595,0.00,0.00,0.00,0.00,51500.00,490,165.50,273.50,1470,513.25,23.84,0,0,0,-0.15,-6.91,0.00,60.82,21:12:00
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,5323.10,385,4163.65,5809.60,595,0.00,0.00,0.00,0.00,51600.00,0,0.00,0.00,0,532.35,23.86,0,0,0,-0.16,-7.02,0.00,61.98,21:12:00
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,5244.35,350,3857.45,5708.60,595,0.00,0.00,0.00,0.00,51700.00,0,0.00,0.00,0,530.35,23.54,0,0,70,-0.16,-6.93,0.00,62.32,21:12:00
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,5166.20,385,3968.15,6935.90,595,0.00,0.00,0.00,0.00,51800.00,0,0.00,524.85,1190,572.20,23.91,0,0,0,-0.17,-7.25,0.00,64.27,21:12:00
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,5088.55,385,3874.50,5472.60,595,0.00,0.00,0.00,0.00,51900.00,0,0.00,386.90,595,592.95,23.93,0,0,0,-0.17,-7.36,0.00,65.41,21:12:00
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,5011.50,280,3608.40,5217.50,595,0.00,0.00,0.00,0.00,52000.00,70,275.00,280.00,70,275.00,18.21,7560,5670,21140,-0.12,-4.08,0.00,50.27,21:12:00
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,4934.95,385,3738.45,5395.10,595,0.00,0.00,0.00,0.00,52100.00,0,0.00,0.00,0,636.10,23.97,0,0,0,-0.18,-7.57,0.00,67.68,21:12:00
BANKNIFTY,28 AUG,2025-06-12 21:12:46,56082.55,56100,0,0,0,0.00,4859.00,350,3481.45,5310.65,595,0.00,0.00,0.00,0.00,52200.00,0,0.00,0.00,0,658.50,23.99,0,0,0,-0.18,-7.68,0.00,68.80,21:12:00
