Symbol,expiry_date,fetch_time,Spot Price,ATM Strike,CE OI,CE Chg in OI,CE Volume,CE IV,CE LTP,CE Bid Qty,CE Bid,CE Ask,CE Ask Qty,CE Delta,CE Theta,CE Gamma,CE Vega,Strike Price,PE Bid Qty,PE Bid,PE Ask,PE Ask Qty,PE LTP,PE IV,PE Volume,PE Chg in OI,PE OI,PE Delta,PE Theta,PE Gamma,PE Vega,timestamp
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,300,-450,525,0.00,2490.00,1725,2282.80,2589.10,1725,0.00,0.00,0.00,0.00,22400.00,0,0.00,0.05,75,0.05,0.00,4556025,-223425,124650,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,375,0,0,0.00,2137.10,150,2291.15,2569.90,150,0.00,0.00,0.00,0.00,22450.00,0,0.00,0.05,19500,0.05,0.00,3615675,90375,215250,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,3000,-2250,4275,0.00,2385.10,75,2383.50,2392.15,75,0.00,0.00,0.00,0.00,22500.00,0,0.00,0.05,5100,0.05,0.00,7533525,-531450,776550,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,375,0,0,0.00,2037.75,150,2168.50,2436.05,150,0.00,0.00,0.00,0.00,22550.00,0,0.00,0.05,1500,0.10,0.00,2462700,21975,107325,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,825,0,0,0.00,2530.00,150,2104.50,2389.80,150,0.00,0.00,0.00,0.00,22600.00,0,0.00,0.05,29850,0.05,0.00,3748050,-108900,180900,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,450,0,0,0.00,2158.35,150,2051.95,2358.95,1725,0.00,0.00,0.00,0.00,22650.00,0,0.00,0.05,6075,0.05,0.00,2265975,1500,159825,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,975,-1125,2025,0.00,2206.00,375,2028.25,2283.55,375,0.00,0.00,0.00,0.00,22700.00,0,0.00,0.05,375,0.05,0.00,5505075,-99150,143775,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,600,0,225,0.00,2290.00,150,1979.55,2273.90,150,0.00,0.00,0.00,0.00,22750.00,0,0.00,0.05,2250,0.05,0.00,7929450,225150,348900,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,300,-1500,1725,0.00,2090.00,150,1941.85,2182.90,150,0.00,0.00,0.00,0.00,22800.00,0,0.00,0.05,1575,0.05,0.00,4834500,-117750,246825,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,750,0,0,0.00,2319.90,150,1855.10,2181.45,1725,0.00,0.00,0.00,0.00,22850.00,0,0.00,0.05,2100,0.05,0.00,4555275,89400,190575,0.00,0.00,0.00,0.00,21:12:00
